uri,author,created,text
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpfapnwnyc2h,yolandadiaz.bsky.social,2025-05-17T19:11:41.600Z,
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpewte4euk2t,yolandadiaz.bsky.social,2025-05-17T16:14:48.114Z,"Miles de personas asesinadas por el gobierno genocida de Israel. RTVE tiene el deber de informar sobre la realidad, y eso es lo que ha hecho. Si tanto se avergüenzan, que paren el genocidio. Silenciar no es la solución."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpefzgjbac2t,yolandadiaz.bsky.social,2025-05-17T11:13:58.338Z,El próximo domingo nos vemos en Sevilla. Estaré junto a @mailloantonio.bsky.social defendiendo el derecho al tiempo. Queremos un país donde la gente recupere tiempo para la vida.  Nos vemos el 25 de mayo 🩷
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpee3qjwqk2t,yolandadiaz.bsky.social,2025-05-17T10:39:28.470Z,"La internacional reaccionaria tiene un objetivo claro: borrar derechos y negar la existencia a personas LGTBI.  Frente a su odio, nuestros derechos. Frente a su retroceso, nuestra esperanza."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpe5ggrzcs2b,yolandadiaz.bsky.social,2025-05-17T08:40:11.156Z,"O Día das Letras Galegas de 2025 é unha fermosa homenaxe ao canto e a lírica popular. Este ano adícase ás mulleres cantareiras, recoñécese a quen mantivo a tradición desde as lareiras da cociña e o traballo no campo.  A poesía oral crece pola revolución das invisibles. Por máis cantareiras! 🩵"
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpcufwy3nk2z,yolandadiaz.bsky.social,2025-05-16T20:26:11.170Z,Un abrazo enorme a la familia y amigos de Jaime Miquel. Una pérdida enorme para nuestro país. Supo ver lo que nadie sabía ver y puso su conocimiento al servicio de la mejora de nuestro país. Te vamos a echar mucho de menos.  www.infolibre.es/opinion/colu...
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpcccnsp422n,yolandadiaz.bsky.social,2025-05-16T15:02:13.544Z,Se están cruzando todos los límites. Los pseudomedios llevan años desarrollando estas formas de acoso.  La derecha y ultraderecha señalan y ellos responden. Todo mi solidaridad con Santos Cerdán y su familia.   No vamos a permitir que avancen.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lpbwcodmyc2v,yolandadiaz.bsky.social,2025-05-16T11:27:29.185Z,Ya está publicado el Proyecto de Ley para la reducción de la jornada laboral en el BOCG.  Hemos cumplido con nuestra parte del trabajo. Ahora le toca a los partidos políticos decidir si están con las más de 12 millones de personas trabajadoras. Su voto es decisivo para hacer efectivo este derecho.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp7llh2wmc2n,yolandadiaz.bsky.social,2025-05-15T13:10:12.919Z,"La salud es un derecho y para garantizarlo es necesario asegurar una buena alimentación.  Cada paso que dan @msocialgob.bsky.social y @sanidad.gob.es en esta dirección, es una conquista para el bienestar de nuestro país."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp7i6ehxgc24,yolandadiaz.bsky.social,2025-05-15T12:09:12.761Z,"Feliz día a todos los madrileños y madrileñas, las que nacieron aquí y las que construyen Madrid cada día desde que llegaron.   El patrón de Madrid también defiende el derecho al descanso y nos recuerda que trabajar menos es vivir mejor. ¡Feliz San Isidro!"
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp54n2rc5s2o,yolandadiaz.bsky.social,2025-05-14T13:37:21.531Z,Sigo con preocupación las noticias que llegan desde Alcalá de Guadaira.  Estaremos atentas a las investigaciones. Instamos a la prudencia y a seguir las recomendaciones de los cuerpos y fuerzas de seguridad.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp54bw2cuc2o,yolandadiaz.bsky.social,2025-05-14T13:31:07.470Z,Hoy es un día histórico: saldamos una deuda con las trabajadoras del hogar avanzando en la seguridad en el trabajo.  Presentamos la herramienta Prevencion10 para que los empleadores adapten las medidas preventivas necesarias. Gracias a todas las trabajadoras por su constancia.  📲 www.prevencion10.es
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp4qknvyrs2m,yolandadiaz.bsky.social,2025-05-14T10:01:16.028Z,La fuerza de los y las jóvenes palestinas es un soplo de esperanza. Ha sido un placer conocer a dos estudiantes representantes del Parlamento Estudiantil de la @unrwa.org.  La justicia internacional tiene que mirar a los ojos a los palestinos y palestinas y poner fin a este genocidio.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp3adzggfs2r,yolandadiaz.bsky.social,2025-05-13T19:38:33.616Z,"Mujica es un ejemplo de fuerza y esperanza. Tus palabras nos acompañarán siempre.  Vamos a echar de menos tu aliento, compañero. Seguiremos tu legado."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp2qxk5s7s2a,yolandadiaz.bsky.social,2025-05-13T15:03:08.836Z,Feijóo miente a su país. La productividad en España no ha dejado de subir. Es el representante de una derecha incapaz de decir la verdad.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp2jmzyni22a,yolandadiaz.bsky.social,2025-05-13T12:52:00.138Z,Roxana Mînzatu agradece el impulso de España a favor de los derechos en el seno de la Unión Europea.  En la reunión que hemos tenido hoy hemos acordado seguir avanzando en derechos sociales en un contexto reaccionario cada vez más complejo. No nos rendimos. Seguiremos.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp2hm6rh7c2b,yolandadiaz.bsky.social,2025-05-13T12:15:44.119Z,"Hemos autorizado en el Gobierno destinar 2.571 M€ en Políticas Activas de Empleo en 2025.  Por primera vez priorizamos fondos para la formación en algoritmos, inteligencia artificial y prevención ante catástrofes. Seguimos mejorando el mercado laboral de nuestro país."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lp2e4eef6223,yolandadiaz.bsky.social,2025-05-13T11:13:11.887Z,"En un momento de guerras y de incertidumbre, la economía social es clave.  No hay economía más resiliente, solidaria, verde y feminista que esta."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loyx4ujny22s,yolandadiaz.bsky.social,2025-05-12T21:48:10.444Z,Las artes escénicas de nuestro país representan la diversidad y la riqueza de nuestra cultura.  Es una maravilla celebrar junto al sector en los Premios Talía. Seguiremos trabajando para avanzar en derechos para los trabajadores y trabajadoras de la cultura.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loylje6xok2s,yolandadiaz.bsky.social,2025-05-12T18:20:24.632Z,"Mónica, una forta abraçada, no podran parar el nostre desig de transformar la societat i millorar la vida de qui més ho necessita.   Sempre amb tu."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loxsi2rsyk24,yolandadiaz.bsky.social,2025-05-12T10:52:17.666Z,"Las empresas tienen que ser responsables con los derechos de las personas trabajadoras. Si contratan de forma contraria a la ley, la Inspección de Trabajo actúa.  La reforma laboral ha conseguido reducir a mínimos históricos los contratos temporales. Las empresas no pueden saltarse la norma."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lot5rulvhc2j,yolandadiaz.bsky.social,2025-05-10T14:31:19.188Z,"No nos vamos a levantar de la mesa hasta que el Congreso apruebe lo que la gente pide en la calle: ganar tiempo para la vida, reducir la jornada laboral."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3losjalryrk2n,yolandadiaz.bsky.social,2025-05-10T08:23:44.688Z,"¿Por qué es necesario establecer por ley la reducción de jornada a 37,5 horas?  @manuel-lago-penas.bsky.social lo explica perfectamente aquí 👇  www.eldiario.es/opinion/trib..."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loqgqeo5322o,yolandadiaz.bsky.social,2025-05-09T12:33:33.395Z,Tras la reducción de la jornada laboral vienen otros muchos avances en derechos.  Os cuento cuáles son los próximos horizontes de esperanza para la gente trabajadora de nuestro país.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lopyj5ihz22n,yolandadiaz.bsky.social,2025-05-09T08:18:58.600Z,"Queremos una Europa de derechos, donde las personas trabajadoras vivan mejor y la libertad esté asegurada.  Frente a la internacional del odio que quiere volver a tiempos pasados, nuestra esperanza para construir un futuro verde, feminista y de defensa de los derechos humanos. Feliz día de Europa 🇪🇺"
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3loomfigvuc22,yolandadiaz.bsky.social,2025-05-08T19:09:31.202Z,Nós seguimos dicindo alto e claro: ALTRI NON.  É incomprensible que a Xunta defenda proxectos que perxudican a nosa vida e son rexeitados por todo o noso país.
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lonztf5fis2u,yolandadiaz.bsky.social,2025-05-08T13:37:16.436Z,"Las empresas de inserción representan lo mejor de nuestro país. Hoy me he reunido con estas organizaciones y con sus trabajadores y trabajadoras.   El mensaje es claro: mejoraremos su regulación, les defenderemos en la UE y reforzaremos el cumplimiento de la contratación pública."
at://did:plc:zfx7buwh3bdf3nneuh5or3ns/app.bsky.feed.post/3lonsx5rxec2h,yolandadiaz.bsky.social,2025-05-08T11:34:06.748Z,La solución del PP a los aranceles de Trump es más energía nuclear y menos impuestos.  Nuestro diputado Manuel Lago les deja las cosas claras.
